undefined;H50;facultyKatselmusUser nah;read&write
Geologian ja geofysiikan maisteriohjelma;MH50_011;facultyKatselmusUser nah;read
Maantieteen maisteriohjelma;MH50_012;facultyKatselmusUser nah;read
Kaupunkitutkimuksen ja suunnittelun maisteriohjelma;MH50_013;facultyKatselmusUser nah;read
Teologian ja uskonnontutkimuksen kandiohjelma;KH10_001;joryUser nah;read&write
Teologian ja uskonnontutkimuksen tohtoriohjelma;T920101;kojoUser nah;read
Oikeustieteen tohtoriohjelma;T920102;kojoUser nah;read
Historian ja kulttuuriperinnön tohtoriohjelma;T920103;kojoUser nah;read
Kielentutkimuksen tohtoriohjelma;T920104;kojoUser nah;read
Sukupuolen, kulttuurin ja yhteiskunnan tutkimuksen tohtoriohjelma;T920105;kojoUser nah;read
Sosiaalitieteiden tohtoriohjelma;T920106;kojoUser nah;read
Poliittisten, yhteiskunnallisten ja alueellisten muutosten tohtoriohjelma;T920107;kojoUser nah;read
Taloustieteen tohtoriohjelma;T920108;kojoUser nah;read
Koulun, kasvatuksen, yhteiskunnan ja kulttuurin tohtoriohjelma;T920109;kojoUser nah;read
Kognition, oppimisen, opetuksen ja kommunikaation tohtoriohjelma;T920110;kojoUser nah;read
Filosofian, taiteiden ja yhteiskunnan tutkimuksen tohtoriohjelma;T920111;kojoUser nah;read
Biolääketieteellinen tohtoriohjelma;T921101;kojoUser nah;read
Kliininen tohtoriohjelma;T921102;kojoUser nah;read
Väestön terveyden tohtoriohjelma;T921103;kojoUser nah;read
Suun terveystieteen tohtoriohjelma;T921104;kojoUser nah;read
Lääketutkimuksen tohtoriohjelma;T921105;kojoUser nah;read
Integroivien biotieteiden tohtoriohjelma;T921106;kojoUser nah;read
Aivot ja mieli tohtoriohjelma;T921107;kojoUser nah;read
Kliinisen eläinlääketieteen tohtoriohjelma;T921108;kojoUser nah;read
Ihmisen käyttäytymisen tohtoriohjelma;T921109;kojoUser nah;read
Luonnonvaraisten eliöiden tutkimuksen tohtoriohjelma;T922101;kojoUser nah;read
Kasvitieteen tohtoriohjelma;T922102;kojoUser nah;read
Ympäristöalan tieteidenvälinen tohtoriohjelma;T922103;kojoUser nah;read
Uusiutuvien luonnonvarojen kestävän käytön tohtoriohjelma;T922104;kojoUser nah;read
Mikrobiologian ja biotekniikan tohtoriohjelma;T922105;kojoUser nah;read
Ruokaketjun ja terveyden tohtoriohjelma;T922106;kojoUser nah;read
Alkeishiukkasfysiikan ja maailmankaikkeuden tutkimuksen tohtoriohjelma;T923101;kojoUser nah;read
Geotieteiden tohtoriohjelma;T923102;kojoUser nah;read
Ilmakehätieteiden tohtoriohjelma;T923103;kojoUser nah;read
Kemian ja molekyylitutkimuksen tohtoriohjelma;T923104;kojoUser nah;read
Matematiikan ja tilastotieteen tohtoriohjelma;T923105;kojoUser nah;read
Materiaalitutkimuksen ja nanotieteiden tohtoriohjelma;T923106;kojoUser nah;read
Tietojenkäsittelytieteen tohtoriohjelma;T923107;kojoUser nah;read
Testaamisen tohtoriohjelma;T999999;kojoUser nah;read
Teologian ja uskonnontutkimuksen kandiohjelma;KH10_001;kojoUser nah;read&admin&write
Oikeusnotaarin koulutusohjelma;KH20_001;kojoUser nah;read
Psykologian kandiohjelma;KH30_001;kojoUser nah;read
Logopedian kandiohjelma;KH30_002;kojoUser nah;read
Filosofian kandiohjelma;KH40_001;kojoUser nah;read
Taiteiden tutkimuksen kandiohjelma;KH40_002;kojoUser nah;read
Kielten kandiohjelma;KH40_003;kojoUser nah;read
Kotimaisten kielten ja kirjallisuuksien kandiohjelma;KH40_004;kojoUser nah;read
Kulttuurien tutkimuksen kandiohjelma;KH40_005;kojoUser nah;read
Historian kandiohjelma;KH40_006;kojoUser nah;read
Matemaattisten tieteiden kandiohjelma;KH50_001;kojoUser nah;read
Fysikaalisten tieteiden kandiohjelma;KH50_002;kojoUser nah;read
Kemian kandiohjelma;KH50_003;kojoUser nah;read
Matematiikan, fysiikan ja kemian opettajan kandiohjelma;KH50_004;kojoUser nah;read
Tietojenkäsittelytieteen kandiohjelma;KH50_005;kojoUser nah;read
Geotieteiden kandiohjelma;KH50_006;kojoUser nah;read
Maantieteen kandiohjelma;KH50_007;kojoUser nah;read
Luonnontieteiden kandiohjelma;KH50_008;kojoUser nah;read
Farmaseutin koulutusohjelma;KH55_001;kojoUser nah;read
Biologian kandiohjelma;KH57_001;kojoUser nah;read
Molekyylibiotieteiden kandiohjelma;KH57_002;kojoUser nah;read
Ympäristötieteiden kandiohjelma;KH57_003;kojoUser nah;read
Kasvatustieteiden kandiohjelma;KH60_001;kojoUser nah;read
Politiikan ja viestinnän kandiohjelma;KH70_001;kojoUser nah;read
Yhteiskunnallisen muutoksen kandiohjelma;KH70_002;kojoUser nah;read
Sosiaalitieteiden kandiohjelma;KH70_003;kojoUser nah;read
Taloustieteen kandiohjelma;KH70_004;kojoUser nah;read
Kandidatprogrammet i samhällsvetenskaper;KH74_001;kojoUser nah;read
Maataloustieteiden kandiohjelma;KH80_001;kojoUser nah;read
Metsätieteiden kandiohjelma;KH80_002;kojoUser nah;read
Elintarviketieteiden kandiohjelma;KH80_003;kojoUser nah;read
Ympäristö- ja elintarviketalouden kandiohjelma;KH80_004;kojoUser nah;read
Eläinlääketieteen kandiohjelma;KH90_001;kojoUser nah;read
Teologian ja uskonnontutkimuksen maisteriohjelma;MH10_001;kojoUser nah;read
Oikeustieteen maisterin koulutusohjelma;MH20_001;kojoUser nah;read
Kansainvälisen liikejuridiikan maisteriohjelma (International Business Law);MH20_002;kojoUser nah;read
Globaalia hallintoa koskevan oikeuden maisteriohjelma;MH20_003;kojoUser nah;read
Lääketieteen koulutusohjelma;MH30_001;kojoUser nah;read
Translationaalisen lääketieteen maisteriohjelma (Translational Medicine);MH30_002;kojoUser nah;read
Hammaslääketieteen koulutusohjelma;MH30_003;kojoUser nah;read
Psykologian maisteriohjelma;MH30_004;kojoUser nah;read
Logopedian maisteriohjelma;MH30_005;kojoUser nah;read
Taiteiden tutkimuksen maisteriohjelma;MH40_001;kojoUser nah;read
Kielten maisteriohjelma;MH40_002;kojoUser nah;read
Englannin kielen ja kirjallisuuden maisteriohjelma;MH40_003;kojoUser nah;read
Venäjän tutkimuksen maisteriohjelma;MH40_004;kojoUser nah;read
Kielellisen diversiteetin ja digitaalisten ihmistieteiden maisteriohjelma;MH40_005;kojoUser nah;read
Kääntämisen ja tulkkauksen maisteriohjelma;MH40_006;kojoUser nah;read
Suomen kielen ja suomalais-ugrilaisten kielten ja kulttuurien maisteriohjelma;MH40_007;kojoUser nah;read
Pohjoismaisten kielten ja kirjallisuuksien maisteriohjelma;MH40_008;kojoUser nah;read
Kirjallisuudentutkimuksen maisteriohjelma;MH40_009;kojoUser nah;read
Kulttuuriperinnön maisteriohjelma;MH40_010;kojoUser nah;read
Kulttuurienvälisen vuorovaikutuksen maisteriohjelma;MH40_011;kojoUser nah;read
Alue- ja kulttuurintutkimuksen maisteriohjelma;MH40_012;kojoUser nah;read
Kulttuurin ja kommunikaation maisteriohjelma;MH40_013;kojoUser nah;read
Sukupuolentutkimuksen maisteriohjelma;MH40_014;kojoUser nah;read
Historian maisteriohjelma;MH40_015;kojoUser nah;read
Matematiikan ja tilastotieteen maisteriohjelma;MH50_001;kojoUser nah;read
Life Science Informatics -maisteriohjelma;MH50_002;kojoUser nah;read
Teoreettisten ja laskennallisten menetelmien maisteriohjelma;MH50_003;kojoUser nah;read
Alkeishiukkasfysiikan ja astrofysikaalisten tieteiden maisteriohjelma;MH50_004;kojoUser nah;read
Materiaalitutkimuksen maisteriohjelma;MH50_005;kojoUser nah;read
Ilmakehätieteiden maisteriohjelma;MH50_006;kojoUser nah;read
Kemian ja molekyylitieteiden maisteriohjelma;MH50_007;kojoUser nah;read
Matematiikan, fysiikan ja kemian opettajan maisteriohjelma;MH50_008;kojoUser nah;read
Tietojenkäsittelytieteen maisteriohjelma;MH50_009;kojoUser nah;read
Datatieteen maisteriohjelma;MH50_010;kojoUser nah;read
Geologian ja geofysiikan maisteriohjelma;MH50_011;kojoUser nah;read
Maantieteen maisteriohjelma;MH50_012;kojoUser nah;read
Kaupunkitutkimuksen ja suunnittelun maisteriohjelma;MH50_013;kojoUser nah;read
Proviisorin koulutusohjelma;MH55_001;kojoUser nah;read
Master’s programme in Pharmaceutical Research, Development and Safety.;MH55_002;kojoUser nah;read
Ekologian ja evoluutiobiologian maisteriohjelma;MH57_001;kojoUser nah;read
Kasvitieteen maisteriohjelma;MH57_002;kojoUser nah;read
Genetiikan ja molekulaaristen biotieteiden maisteriohjelma;MH57_003;kojoUser nah;read
Neurotieteen maisteriohjelma;MH57_004;kojoUser nah;read
Ympäristömuutoksen ja globaalin kestävyyden maisteriohjelma;MH57_005;kojoUser nah;read
Kasvatustieteiden maisteriohjelma;MH60_001;kojoUser nah;read
Muuttuvan kasvatuksen ja koulutuksen maisteriohjelma;MH60_002;kojoUser nah;read
Filosofian maisteriohjelma;MH70_001;kojoUser nah;read
Politiikan ja viestinnän maisteriohjelma;MH70_002;kojoUser nah;read
Globaalin politiikan ja viestinnän maisteriohjelma;MH70_003;kojoUser nah;read
Yhteiskunnallisen muutoksen maisteriohjelma;MH70_004;kojoUser nah;read
Nyky-yhteiskunnan tutkimuksen maisteriohjelma;MH70_005;kojoUser nah;read
Euroopan ja pohjoismaiden tutkimuksen maisteriohjelma (European and Nordic Studies);MH70_006;kojoUser nah;read
Yhteiskuntatieteiden maisteriohjelma;MH70_007;kojoUser nah;read
Sosiaalitieteiden maisteriohjelma;MH70_008;kojoUser nah;read
Taloustieteen maisteriohjelma;MH70_009;kojoUser nah;read
Sosiaali- ja terveystutkimuksen ja johtamisen maisteriohjelma;MH70_011;kojoUser nah;read
Maataloustieteiden maisteriohjelma;MH80_001;kojoUser nah;read
Maatalous-, ympäristö- ja luonnonvaraekonomian maisteriohjelma;MH80_002;kojoUser nah;read
Metsätieteiden maisteriohjelma;MH80_003;kojoUser nah;read
Elintarviketieteiden maisteriohjelma;MH80_004;kojoUser nah;read
Ihmisen ravitsemuksen ja ruokakäyttäytymisen maisteriohjelma;MH80_005;kojoUser nah;read
Elintarviketalouden ja kulutuksen maisteriohjelma;MH80_006;kojoUser nah;read
Mikrobiologian ja mikrobibiotekniikan maisteriohjelma;MH80_007;kojoUser nah;read
Eläinlääketieteen lisensiaatin koulutusohjelma;MH90_001;kojoUser nah;read
Psykologian kandiohjelma;KH30_001;psykoUser nah;read&write
Psykologian maisteriohjelma;MH30_004;psykoUser nah;read&write
Logopedian kandiohjelma;KH30_002;logoUser nah;read&write
Logopedian maisteriohjelma;MH30_005;logoUser nah;read&write
Teologian ja uskonnontutkimuksen tohtoriohjelma;T920101;doctoralUser nah;read
Oikeustieteen tohtoriohjelma;T920102;doctoralUser nah;read
Historian ja kulttuuriperinnön tohtoriohjelma;T920103;doctoralUser nah;read
Kielentutkimuksen tohtoriohjelma;T920104;doctoralUser nah;read
Sukupuolen, kulttuurin ja yhteiskunnan tutkimuksen tohtoriohjelma;T920105;doctoralUser nah;read
Sosiaalitieteiden tohtoriohjelma;T920106;doctoralUser nah;read
Poliittisten, yhteiskunnallisten ja alueellisten muutosten tohtoriohjelma;T920107;doctoralUser nah;read
Taloustieteen tohtoriohjelma;T920108;doctoralUser nah;read
Koulun, kasvatuksen, yhteiskunnan ja kulttuurin tohtoriohjelma;T920109;doctoralUser nah;read
Kognition, oppimisen, opetuksen ja kommunikaation tohtoriohjelma;T920110;doctoralUser nah;read
Filosofian, taiteiden ja yhteiskunnan tutkimuksen tohtoriohjelma;T920111;doctoralUser nah;read
Biolääketieteellinen tohtoriohjelma;T921101;doctoralUser nah;read
Kliininen tohtoriohjelma;T921102;doctoralUser nah;read
Väestön terveyden tohtoriohjelma;T921103;doctoralUser nah;read
Suun terveystieteen tohtoriohjelma;T921104;doctoralUser nah;read
Lääketutkimuksen tohtoriohjelma;T921105;doctoralUser nah;read
Integroivien biotieteiden tohtoriohjelma;T921106;doctoralUser nah;read
Aivot ja mieli tohtoriohjelma;T921107;doctoralUser nah;read
Kliinisen eläinlääketieteen tohtoriohjelma;T921108;doctoralUser nah;read
Ihmisen käyttäytymisen tohtoriohjelma;T921109;doctoralUser nah;read
Luonnonvaraisten eliöiden tutkimuksen tohtoriohjelma;T922101;doctoralUser nah;read
Kasvitieteen tohtoriohjelma;T922102;doctoralUser nah;read
Ympäristöalan tieteidenvälinen tohtoriohjelma;T922103;doctoralUser nah;read
Uusiutuvien luonnonvarojen kestävän käytön tohtoriohjelma;T922104;doctoralUser nah;read
Mikrobiologian ja biotekniikan tohtoriohjelma;T922105;doctoralUser nah;read
Ruokaketjun ja terveyden tohtoriohjelma;T922106;doctoralUser nah;read
Alkeishiukkasfysiikan ja maailmankaikkeuden tutkimuksen tohtoriohjelma;T923101;doctoralUser nah;read
Geotieteiden tohtoriohjelma;T923102;doctoralUser nah;read
Ilmakehätieteiden tohtoriohjelma;T923103;doctoralUser nah;read
Kemian ja molekyylitutkimuksen tohtoriohjelma;T923104;doctoralUser nah;read
Matematiikan ja tilastotieteen tohtoriohjelma;T923105;doctoralUser nah;read
Materiaalitutkimuksen ja nanotieteiden tohtoriohjelma;T923106;doctoralUser nah;read
Tietojenkäsittelytieteen tohtoriohjelma;T923107;doctoralUser nah;read
Testaamisen tohtoriohjelma;T999999;doctoralUser nah;read
Teologian ja uskonnontutkimuksen tohtoriohjelma;T920101;rehtoriUser nah;read
Oikeustieteen tohtoriohjelma;T920102;rehtoriUser nah;read
Historian ja kulttuuriperinnön tohtoriohjelma;T920103;rehtoriUser nah;read
Kielentutkimuksen tohtoriohjelma;T920104;rehtoriUser nah;read
Sukupuolen, kulttuurin ja yhteiskunnan tutkimuksen tohtoriohjelma;T920105;rehtoriUser nah;read
Sosiaalitieteiden tohtoriohjelma;T920106;rehtoriUser nah;read
Poliittisten, yhteiskunnallisten ja alueellisten muutosten tohtoriohjelma;T920107;rehtoriUser nah;read
Taloustieteen tohtoriohjelma;T920108;rehtoriUser nah;read
Koulun, kasvatuksen, yhteiskunnan ja kulttuurin tohtoriohjelma;T920109;rehtoriUser nah;read
Kognition, oppimisen, opetuksen ja kommunikaation tohtoriohjelma;T920110;rehtoriUser nah;read
Filosofian, taiteiden ja yhteiskunnan tutkimuksen tohtoriohjelma;T920111;rehtoriUser nah;read
Biolääketieteellinen tohtoriohjelma;T921101;rehtoriUser nah;read
Kliininen tohtoriohjelma;T921102;rehtoriUser nah;read
Väestön terveyden tohtoriohjelma;T921103;rehtoriUser nah;read
Suun terveystieteen tohtoriohjelma;T921104;rehtoriUser nah;read
Lääketutkimuksen tohtoriohjelma;T921105;rehtoriUser nah;read
Integroivien biotieteiden tohtoriohjelma;T921106;rehtoriUser nah;read
Aivot ja mieli tohtoriohjelma;T921107;rehtoriUser nah;read
Kliinisen eläinlääketieteen tohtoriohjelma;T921108;rehtoriUser nah;read
Ihmisen käyttäytymisen tohtoriohjelma;T921109;rehtoriUser nah;read
Luonnonvaraisten eliöiden tutkimuksen tohtoriohjelma;T922101;rehtoriUser nah;read
Kasvitieteen tohtoriohjelma;T922102;rehtoriUser nah;read
Ympäristöalan tieteidenvälinen tohtoriohjelma;T922103;rehtoriUser nah;read
Uusiutuvien luonnonvarojen kestävän käytön tohtoriohjelma;T922104;rehtoriUser nah;read
Mikrobiologian ja biotekniikan tohtoriohjelma;T922105;rehtoriUser nah;read
Ruokaketjun ja terveyden tohtoriohjelma;T922106;rehtoriUser nah;read
Alkeishiukkasfysiikan ja maailmankaikkeuden tutkimuksen tohtoriohjelma;T923101;rehtoriUser nah;read
Geotieteiden tohtoriohjelma;T923102;rehtoriUser nah;read
Ilmakehätieteiden tohtoriohjelma;T923103;rehtoriUser nah;read
Kemian ja molekyylitutkimuksen tohtoriohjelma;T923104;rehtoriUser nah;read
Matematiikan ja tilastotieteen tohtoriohjelma;T923105;rehtoriUser nah;read
Materiaalitutkimuksen ja nanotieteiden tohtoriohjelma;T923106;rehtoriUser nah;read
Tietojenkäsittelytieteen tohtoriohjelma;T923107;rehtoriUser nah;read
Testaamisen tohtoriohjelma;T999999;rehtoriUser nah;read
Teologian ja uskonnontutkimuksen kandiohjelma;KH10_001;rehtoriUser nah;read
Oikeusnotaarin koulutusohjelma;KH20_001;rehtoriUser nah;read
Psykologian kandiohjelma;KH30_001;rehtoriUser nah;read
Logopedian kandiohjelma;KH30_002;rehtoriUser nah;read
Filosofian kandiohjelma;KH40_001;rehtoriUser nah;read
Taiteiden tutkimuksen kandiohjelma;KH40_002;rehtoriUser nah;read
Kielten kandiohjelma;KH40_003;rehtoriUser nah;read
Kotimaisten kielten ja kirjallisuuksien kandiohjelma;KH40_004;rehtoriUser nah;read
Kulttuurien tutkimuksen kandiohjelma;KH40_005;rehtoriUser nah;read
Historian kandiohjelma;KH40_006;rehtoriUser nah;read
Matemaattisten tieteiden kandiohjelma;KH50_001;rehtoriUser nah;read
Fysikaalisten tieteiden kandiohjelma;KH50_002;rehtoriUser nah;read
Kemian kandiohjelma;KH50_003;rehtoriUser nah;read
Matematiikan, fysiikan ja kemian opettajan kandiohjelma;KH50_004;rehtoriUser nah;read
Tietojenkäsittelytieteen kandiohjelma;KH50_005;rehtoriUser nah;read
Geotieteiden kandiohjelma;KH50_006;rehtoriUser nah;read
Maantieteen kandiohjelma;KH50_007;rehtoriUser nah;read
Luonnontieteiden kandiohjelma;KH50_008;rehtoriUser nah;read
Farmaseutin koulutusohjelma;KH55_001;rehtoriUser nah;read
Biologian kandiohjelma;KH57_001;rehtoriUser nah;read
Molekyylibiotieteiden kandiohjelma;KH57_002;rehtoriUser nah;read
Ympäristötieteiden kandiohjelma;KH57_003;rehtoriUser nah;read
Kasvatustieteiden kandiohjelma;KH60_001;rehtoriUser nah;read
Politiikan ja viestinnän kandiohjelma;KH70_001;rehtoriUser nah;read
Yhteiskunnallisen muutoksen kandiohjelma;KH70_002;rehtoriUser nah;read
Sosiaalitieteiden kandiohjelma;KH70_003;rehtoriUser nah;read
Taloustieteen kandiohjelma;KH70_004;rehtoriUser nah;read
Kandidatprogrammet i samhällsvetenskaper;KH74_001;rehtoriUser nah;read
Maataloustieteiden kandiohjelma;KH80_001;rehtoriUser nah;read
Metsätieteiden kandiohjelma;KH80_002;rehtoriUser nah;read
Elintarviketieteiden kandiohjelma;KH80_003;rehtoriUser nah;read
Ympäristö- ja elintarviketalouden kandiohjelma;KH80_004;rehtoriUser nah;read
Eläinlääketieteen kandiohjelma;KH90_001;rehtoriUser nah;read
Teologian ja uskonnontutkimuksen maisteriohjelma;MH10_001;rehtoriUser nah;read
Oikeustieteen maisterin koulutusohjelma;MH20_001;rehtoriUser nah;read
Kansainvälisen liikejuridiikan maisteriohjelma (International Business Law);MH20_002;rehtoriUser nah;read
Globaalia hallintoa koskevan oikeuden maisteriohjelma;MH20_003;rehtoriUser nah;read
Lääketieteen koulutusohjelma;MH30_001;rehtoriUser nah;read
Translationaalisen lääketieteen maisteriohjelma (Translational Medicine);MH30_002;rehtoriUser nah;read
Hammaslääketieteen koulutusohjelma;MH30_003;rehtoriUser nah;read
Psykologian maisteriohjelma;MH30_004;rehtoriUser nah;read
Logopedian maisteriohjelma;MH30_005;rehtoriUser nah;read
Taiteiden tutkimuksen maisteriohjelma;MH40_001;rehtoriUser nah;read
Kielten maisteriohjelma;MH40_002;rehtoriUser nah;read
Englannin kielen ja kirjallisuuden maisteriohjelma;MH40_003;rehtoriUser nah;read
Venäjän tutkimuksen maisteriohjelma;MH40_004;rehtoriUser nah;read
Kielellisen diversiteetin ja digitaalisten ihmistieteiden maisteriohjelma;MH40_005;rehtoriUser nah;read
Kääntämisen ja tulkkauksen maisteriohjelma;MH40_006;rehtoriUser nah;read
Suomen kielen ja suomalais-ugrilaisten kielten ja kulttuurien maisteriohjelma;MH40_007;rehtoriUser nah;read
Pohjoismaisten kielten ja kirjallisuuksien maisteriohjelma;MH40_008;rehtoriUser nah;read
Kirjallisuudentutkimuksen maisteriohjelma;MH40_009;rehtoriUser nah;read
Kulttuuriperinnön maisteriohjelma;MH40_010;rehtoriUser nah;read
Kulttuurienvälisen vuorovaikutuksen maisteriohjelma;MH40_011;rehtoriUser nah;read
Alue- ja kulttuurintutkimuksen maisteriohjelma;MH40_012;rehtoriUser nah;read
Kulttuurin ja kommunikaation maisteriohjelma;MH40_013;rehtoriUser nah;read
Sukupuolentutkimuksen maisteriohjelma;MH40_014;rehtoriUser nah;read
Historian maisteriohjelma;MH40_015;rehtoriUser nah;read
Matematiikan ja tilastotieteen maisteriohjelma;MH50_001;rehtoriUser nah;read
Life Science Informatics -maisteriohjelma;MH50_002;rehtoriUser nah;read
Teoreettisten ja laskennallisten menetelmien maisteriohjelma;MH50_003;rehtoriUser nah;read
Alkeishiukkasfysiikan ja astrofysikaalisten tieteiden maisteriohjelma;MH50_004;rehtoriUser nah;read
Materiaalitutkimuksen maisteriohjelma;MH50_005;rehtoriUser nah;read
Ilmakehätieteiden maisteriohjelma;MH50_006;rehtoriUser nah;read
Kemian ja molekyylitieteiden maisteriohjelma;MH50_007;rehtoriUser nah;read
Matematiikan, fysiikan ja kemian opettajan maisteriohjelma;MH50_008;rehtoriUser nah;read
Tietojenkäsittelytieteen maisteriohjelma;MH50_009;rehtoriUser nah;read
Datatieteen maisteriohjelma;MH50_010;rehtoriUser nah;read
Geologian ja geofysiikan maisteriohjelma;MH50_011;rehtoriUser nah;read
Maantieteen maisteriohjelma;MH50_012;rehtoriUser nah;read
Kaupunkitutkimuksen ja suunnittelun maisteriohjelma;MH50_013;rehtoriUser nah;read
Proviisorin koulutusohjelma;MH55_001;rehtoriUser nah;read
Master’s programme in Pharmaceutical Research, Development and Safety.;MH55_002;rehtoriUser nah;read
Ekologian ja evoluutiobiologian maisteriohjelma;MH57_001;rehtoriUser nah;read
Kasvitieteen maisteriohjelma;MH57_002;rehtoriUser nah;read
Genetiikan ja molekulaaristen biotieteiden maisteriohjelma;MH57_003;rehtoriUser nah;read
Neurotieteen maisteriohjelma;MH57_004;rehtoriUser nah;read
Ympäristömuutoksen ja globaalin kestävyyden maisteriohjelma;MH57_005;rehtoriUser nah;read
Kasvatustieteiden maisteriohjelma;MH60_001;rehtoriUser nah;read
Muuttuvan kasvatuksen ja koulutuksen maisteriohjelma;MH60_002;rehtoriUser nah;read
Filosofian maisteriohjelma;MH70_001;rehtoriUser nah;read
Politiikan ja viestinnän maisteriohjelma;MH70_002;rehtoriUser nah;read
Globaalin politiikan ja viestinnän maisteriohjelma;MH70_003;rehtoriUser nah;read
Yhteiskunnallisen muutoksen maisteriohjelma;MH70_004;rehtoriUser nah;read
Nyky-yhteiskunnan tutkimuksen maisteriohjelma;MH70_005;rehtoriUser nah;read
Euroopan ja pohjoismaiden tutkimuksen maisteriohjelma (European and Nordic Studies);MH70_006;rehtoriUser nah;read
Yhteiskuntatieteiden maisteriohjelma;MH70_007;rehtoriUser nah;read
Sosiaalitieteiden maisteriohjelma;MH70_008;rehtoriUser nah;read
Taloustieteen maisteriohjelma;MH70_009;rehtoriUser nah;read
Sosiaali- ja terveystutkimuksen ja johtamisen maisteriohjelma;MH70_011;rehtoriUser nah;read
Maataloustieteiden maisteriohjelma;MH80_001;rehtoriUser nah;read
Maatalous-, ympäristö- ja luonnonvaraekonomian maisteriohjelma;MH80_002;rehtoriUser nah;read
Metsätieteiden maisteriohjelma;MH80_003;rehtoriUser nah;read
Elintarviketieteiden maisteriohjelma;MH80_004;rehtoriUser nah;read
Ihmisen ravitsemuksen ja ruokakäyttäytymisen maisteriohjelma;MH80_005;rehtoriUser nah;read
Elintarviketalouden ja kulutuksen maisteriohjelma;MH80_006;rehtoriUser nah;read
Mikrobiologian ja mikrobibiotekniikan maisteriohjelma;MH80_007;rehtoriUser nah;read
Eläinlääketieteen lisensiaatin koulutusohjelma;MH90_001;rehtoriUser nah;read
Teologian ja uskonnontutkimuksen tohtoriohjelma;T920101;theologyFacultyUser nah;read
Oikeustieteen tohtoriohjelma;T920102;theologyFacultyUser nah;read
Historian ja kulttuuriperinnön tohtoriohjelma;T920103;theologyFacultyUser nah;read
Kielentutkimuksen tohtoriohjelma;T920104;theologyFacultyUser nah;read
Sukupuolen, kulttuurin ja yhteiskunnan tutkimuksen tohtoriohjelma;T920105;theologyFacultyUser nah;read
Sosiaalitieteiden tohtoriohjelma;T920106;theologyFacultyUser nah;read
Poliittisten, yhteiskunnallisten ja alueellisten muutosten tohtoriohjelma;T920107;theologyFacultyUser nah;read
Taloustieteen tohtoriohjelma;T920108;theologyFacultyUser nah;read
Koulun, kasvatuksen, yhteiskunnan ja kulttuurin tohtoriohjelma;T920109;theologyFacultyUser nah;read
Kognition, oppimisen, opetuksen ja kommunikaation tohtoriohjelma;T920110;theologyFacultyUser nah;read
Filosofian, taiteiden ja yhteiskunnan tutkimuksen tohtoriohjelma;T920111;theologyFacultyUser nah;read
Biolääketieteellinen tohtoriohjelma;T921101;theologyFacultyUser nah;read
Kliininen tohtoriohjelma;T921102;theologyFacultyUser nah;read
Väestön terveyden tohtoriohjelma;T921103;theologyFacultyUser nah;read
Suun terveystieteen tohtoriohjelma;T921104;theologyFacultyUser nah;read
Lääketutkimuksen tohtoriohjelma;T921105;theologyFacultyUser nah;read
Integroivien biotieteiden tohtoriohjelma;T921106;theologyFacultyUser nah;read
Aivot ja mieli tohtoriohjelma;T921107;theologyFacultyUser nah;read
Kliinisen eläinlääketieteen tohtoriohjelma;T921108;theologyFacultyUser nah;read
